C;c:\optibus\gn_elec345.txt
V;GD345;1;GD20b;1
H;10007220;gngver;Groningen, Verzetsstrijderslaan;232675.6;580957.1
H;10007250;gnglaa;Groningen, Paterswoldseweg;233186.0;581035.0
H;10007260;gnglaa;Groningen, Paterswoldseweg;233153.0;581040.0
H;10008050;gngson;Groningen, Sontplein;234779.4;581720.2
H;10008330;;Groningen, Hereplein;233994.7;581380.0
H;10008340;;Groningen, Hereplein;233986.9;581409.0
H;10008380;gngzui;Groningen, Zuiderdiep;234070.8;581674.1
H;10008390;gngzui;Groningen, Zuiderdiep;233964.0;581618.9
H;10008630;gngbra;Groningen, Brandweer;235365.9;582026.0
H;10008640;gngbra;Groningen, Brandweer;235405.0;582031.0
H;10008650;gngagu;Groningen, IKEA;235138.8;581884.0
H;10008660;gngagu;Groningen, IKEA;235180.0;581888.0
H;10008680;gngste;Groningen, Stettinweg;236190.4;582300.5
H;10008690;gngste;Groningen, Stettinweg;236078.8;582267.6
H;10008700;;Groningen, Odenseweg;236681.9;582520.1
H;10008710;;Groningen, Odenseweg;236600.8;582508.6
H;10009015;gngcs;Groningen, Hoofdstation (Perron E);233797.5;581183.7
H;10009019;gngcs;Groningen, Hoofdstation (Perron J);233875.6;581202.2
H;10009025;gngcs;Groningen, Hoofdstation (Perron Q);233824.1;581164.5
H;10009200;;Zonegrens 1000 1200;234354.0;578084.0
H;10009420;gnggri;Groningen, Sontplein;234842.7;581688.4
H;10009710;;Zonegrens 1000 1010;236771.2;582573.6
H;10101000;;Zonegrens 1010 1000;234924.2;583670.2
H;10101254;;Zonegrens 1010 1254;239547.4;580867.1
H;10101550;;Groningen, Pop Dijkemaweg;235252.8;583815.9
H;10101560;;Groningen, Pop Dijkemaweg;235277.5;583818.5
H;10101570;gngulg;Groningen, Beneluxweg;235517.0;583927.0
H;10101580;gngulg;Groningen, Beneluxweg;235555.0;583934.0
H;10103410;gngloe;Groningen, Loefzijde;236992.2;583870.0
H;10103550;;Groningen, Waterland;237118.8;584510.2
H;10103560;;Groningen, Waterland;237084.8;584477.7
H;10103570;;Groningen, Mooiland;237457.9;584621.9
H;10103580;;Groningen, Mooiland;237388.8;584625.0
H;10103600;;Groningen, De Boeg;237060.9;584183.8
H;10103610;gngwcl;Groningen, Winkelc Lewenborg;237651.8;584202.1
H;10103620;gngwcl;Groningen, Winkelc Lewenborg;237664.7;584224.1
H;10103630;;Groningen, Lijzijde;237685.6;583878.0
H;10103640;;Groningen, Lijzijde;237627.2;583920.1
H;10103650;;Groningen, De Boeg;237083.2;584157.6
H;10103950;;Groningen, Wimpel;237571.1;584529.0
H;10103960;;Groningen, Wimpel;237606.5;584495.7
H;10105030;gngmee;Groningen, Meerpaal;237915.5;583962.7
H;10105040;gngmee;Groningen, Meerpaal;237777.3;583928.5
H;10105090;gngloe;Groningen, Loefzijde;236905.5;583888.3
H;10105110;gnglew;Groningen, Langszij;236417.9;583988.1
H;10105120;gnglew;Groningen, Langszij;236514.2;584004.4
H;10105130;;Groningen, Eenrumermaar;236191.8;584029.3
H;10105140;;Groningen, Eenrumermaar;236226.8;583992.0
H;10105150;;Groningen, Parkallee;235876.6;584257.3
H;10105160;;Groningen, Parkallee;235887.6;584229.4
H;10105170;gngkar;Groningen, P+R Kardinge;235599.8;584171.7
H;10105180;gngkar;Groningen, P+R Kardinge;235602.5;584211.5
H;10105330;gngrui;Groningen, Ruischerbrug;238177.0;583780.0
H;10108610;egbspo;Engelbert, Sportveld;239335.9;580850.3
H;10108620;egbspo;Engelbert, Sportveld;239328.2;580824.5
H;10108810;egblin;Engelbert, Lintdal;239082.4;581124.5
H;10108820;egblin;Engelbert, Lintdal;239090.2;581065.0
H;10108900;;Zonegrens 1010 1000;236764.9;582585.2
H;10108910;;Engelbert, Olgerweg;238796.9;581627.8
H;10108920;;Engelbert, Olgerweg;238785.3;581638.0
H;10109010;;Middelbert, Middelberterweg 54;238732.7;581925.0
H;10109020;;Middelbert, Middelberterweg 54;238745.7;581881.0
H;10109110;;Middelbert, Middelberterweg 32;238408.5;582520.0
H;10109120;;Middelbert, Middelberterweg 32;238434.0;582453.0
H;10109210;;Middelbert, Middelberterweg 18;238297.9;582802.8
H;10109220;;Middelbert, Middelberterweg 18;238294.4;582789.6
H;10109410;gngprm;Groningen, P+R Meerstad;237023.9;582752.4
H;10109420;gngprm;Groningen, P+R Meerstad;237030.0;582749.0
H;10109440;gngslu;Groningen, Tersluis;239920.0;583736.0
H;10109450;;Groningen, Meeroevers Noord;239132.0;583188.0
H;10109460;;Groningen, Meeroevers Noord;239121.0;583167.0
H;10109490;gngslu;Groningen, Tersluis;239843.0;583756.0
H;10109510;;Groningen, Middelberterweg;238170.8;583261.9
H;10109520;;Groningen, Middelberterweg;238159.6;583258.0
H;10121422;;Zonegrens 1012 1422;229828.3;577761.4
H;10124000;;Zonegrens 1012 1000;230477.9;579786.5
H;10124610;;Peizermade, Stadspark;230152.0;578689.5
H;10124620;;Peizermade, Stadspark;230140.0;578642.0
H;10124710;pzedre;Peizermade, Peizermade;230152.1;579095.3
H;10124720;pzedre;Peizermade, Peizermade;230129.0;579168.0
H;10125860;hkktra;Groningen, P+R Hoogkerk (Perron D);230300.0;579605.1
H;10125870;hkktra;Groningen, P+R Hoogkerk (Perron E);230255.4;579559.7
H;10125880;hkktra;Groningen, P+R Hoogkerk (Perron F);230260.9;579553.7
H;10129131;;Zonegrens 1012 1131;229134.0;580251.0
H;10151000;;Zonegrens 1015 1000;234932.8;583661.7
H;10151550;;Groningen, Pop Dijkemaweg;235252.1;583815.6
H;10151560;;Groningen, Pop Dijkemaweg;235277.9;583818.6
H;10151570;gngulg;Groningen, Beneluxweg;235517.0;583927.0
H;10151580;gngulg;Groningen, Beneluxweg;235555.0;583934.0
H;10155160;gngkar;Groningen, P+R Kardinge;235559.0;584192.0
H;10155170;gngkar;Groningen, P+R Kardinge;235607.1;584162.8
H;10155610;gngbey;Groningen, Wibenaheerd;236102.5;585190.5
H;10155630;;Groningen, Winkelcentrum Oost;236128.8;585377.6
H;10155640;;Groningen, Winkelcentrum Oost;236131.4;585433.2
H;10155650;;Groningen, Jensemaheerd;235987.8;585816.0
H;10155660;;Groningen, Jensemaheerd;236016.2;585771.0
H;10155670;;Groningen, Scheltemaheerd;235652.9;585824.4
H;10155680;;Groningen, Scheltemaheerd;235735.9;585804.8
H;10155690;;Groningen, Edzemaheerd;235296.8;585795.7
H;10155700;;Groningen, Edzemaheerd;235372.3;585820.4
H;10155710;;Groningen, Mudaheerd;235086.8;585472.0
H;10155720;;Groningen, Mudaheerd;235098.9;585562.9
H;10155730;gngwcb;Groningen, Winkelcentrum West;235153.8;585112.6
H;10155740;gngwcb;Groningen, Winkelcentrum West;235156.0;585125.0
H;10155750;;Groningen, Sibrandaheerd;235361.6;584878.1
H;10155770;;Groningen, Framaheerd;235288.7;584767.8
H;10155780;;Groningen, Framaheerd;235181.4;584687.6
H;11311431;;Zonegrens 1131 1431;222716.4;578906.7
H;11319012;;Zonegrens 1131 1012;229136.0;580211.0
H;12001201;;Zonegrens 1200 1201;235674.8;575759.5
H;12003220;hrgp+r;Haren, P+R Haren A28;235458.4;576576.4
H;12004710;hrgp+r;Haren, P+R Haren A28;235523.0;576546.0
H;12009000;;Zonegrens 1200 1000;234391.0;578104.0
H;12011200;;Zonegrens 1201 1200;235704.0;575759.5
H;12018204;;Zonegrens 1201 1204;236883.0;571253.0
H;12041210;;Zonegrens 1204 1210;237776.9;569154.7
H;12049201;;Zonegrens 1204 1201;236917.0;571267.0
H;12101204;;Zonegrens 1210 1204;237790.4;569165.4
H;12101710;zlroud;Zuidlaren, De Hilde;242755.2;566524.8
H;12101720;zlroud;Zuidlaren, De Hilde;242752.3;566504.7
H;12101810;zlrhav;Zuidlaren, Havezathelaan;242745.6;566850.9
H;12101820;zlrhav;Zuidlaren, Havezathelaan;242731.4;566768.5
H;12101910;zlrkaz;Zuidlaren, Infanterielaan;242511.4;567534.2
H;12101920;zlrkaz;Zuidlaren, Infanterielaan;242526.8;567424.8
H;12102010;;Zuidlaren, Emmalaan;242366.0;567909.9
H;12102020;;Zuidlaren, Emmalaan;242350.5;567893.2
H;12102110;zlrbri;Zuidlaren, Brink;242147.2;568200.8
H;12102120;zlrbri;Zuidlaren, Brink;242149.8;568144.1
H;12105910;zlrjul;Zuidlaren, Julianalaan;241413.4;567945.3
H;12105920;zlrjul;Zuidlaren, Julianalaan;241415.9;567928.0
H;12106110;wlatie;Westlaren, Tienelsweg;240646.5;567674.6
H;12106120;wlatie;Westlaren, Tienelsweg;240664.5;567664.5
H;12106210;wlaN34;Westlaren, P+R Westlaren;239896.0;567328.0
H;12106220;wlaN34;Westlaren, P+R Westlaren;239809.0;567267.0
H;12109212;;Zonegrens 1210 1212;242838.8;566251.9
H;12120920;annrot;Annen, Rotonde;244511.7;563597.7
H;12120930;annrot;Annen, Rotonde;244508.1;563589.9
H;12121010;annew;Annen, Eexterweg;244744.1;563761.3
H;12121020;annew;Annen, Eexterweg;244729.9;563774.1
H;12121110;annmar;Annen, Centrum;244753.1;564233.5
H;12121120;annmar;Annen, Centrum;244686.2;564263.1
H;12121210;;Annen, Zuidlaarderweg 90;244413.4;564463.9
H;12121220;;Annen, Zuidlaarderweg 90;244378.6;564460.0
H;12121310;annhun;Annen, Hunebed;244086.5;564678.8
H;12121320;annhun;Annen, Hunebed;243975.8;564723.8
H;12121410;;Schuilingsoord, Zuidlaarderweg 20;243566.6;565242.4
H;12121420;;Schuilingsoord, Zuidlaarderweg 20;243567.9;565205.1
H;12121610;zlrsch;Schuilingsoord, Entinge;242982.4;566062.1
H;12121620;zlrsch;Schuilingsoord, Entinge;242972.1;566038.9
H;12129210;;Zonegrens 1212 1210;242847.7;566254.9
H;12541010;;Zonegrens 1254 1010;239539.1;580883.2
H;12547330;smrgol;Scharmer, Goldbergweg;243476.3;579449.0
H;12547410;;Scharmer, Borgmeren;243310.8;579937.9
H;12547420;;Scharmer, Borgmeren;243308.8;579919.9
H;12547510;smrher;Scharmer, Herenlaan;243185.0;580580.5
H;12547520;smrher;Scharmer, Herenlaan;243174.4;580546.1
H;12547610;;Scharmer, Woudbloemlaan;243183.6;580854.5
H;12547620;;Scharmer, Woudbloemlaan;243174.3;580853.1
H;12547710;;Harkstede, Hoofdweg 3;243063.5;581329.1
H;12547720;;Harkstede, Hoofdweg 3;243049.9;581330.5
H;12547810;hdemul;Harkstede, Hamweg;242721.7;581594.6
H;12547820;hdemul;Harkstede, Hamweg;242764.0;581564.0
H;12547910;;Harkstede, Dorpshuisweg;242266.3;581446.5
H;12547920;;Harkstede, Dorpshuisweg;242300.7;581450.2
H;12548010;;Harkstede, Pilotenweg;241927.3;581317.1
H;12548020;;Harkstede, Pilotenweg;242011.5;581343.7
H;12548110;;Harkstede, Hoofdlaan;241559.8;581167.9
H;12548120;;Harkstede, Hoofdlaan;241481.8;581121.6
H;12548210;;Harkstede, Veldzicht;240761.0;581065.0
H;12548220;;Harkstede, Veldzicht;240714.0;581060.0
H;12548410;;Harkstede, Grunostrand;240167.2;581276.4
H;12548420;;Harkstede, Grunostrand;240243.9;581217.7
H;14221012;;Zonegrens 1422 1012;229854.0;577746.3
H;14221432;;Zonegrens 1422 1432;227759.1;573971.8
H;14223810;pze372;Peize, P+R Peize;228443.4;574155.5
H;14223820;pze372;Peize, P+R Peize;228416.0;574129.0
H;14224210;pzeste;Peizerwold, Peizerwold;229205.5;575679.6
H;14224220;pzeste;Peizerwold, Peizerwold;229175.2;575719.1
H;14311131;;Zonegrens 1431 1131;222769.5;578879.8
H;14313710;lekbou;Tolbert, Bousemalaan;220664.0;576552.0
H;14313720;lekbou;Tolbert, Bousemalaan;220658.0;576559.0
H;14314410;tbtbee;Tolbert, Beelen;220449.0;575916.0
H;14314420;tbtbee;Tolbert, Beelen;220462.1;575922.1
H;14314510;tbtene;Tolbert, Rotonde Tolbert;220346.0;576465.0
H;14314520;tbtene;Tolbert, Rotonde Tolbert;220329.0;576444.0
H;14314610;lekoos;Leek, Oostindie;220974.0;573857.0
H;14314620;lekoos;Leek, Oostindie;220974.0;573857.0
H;14314710;lekdie;Leek, Kalkoven;220777.2;574575.1
H;14314720;lekdie;Leek, Kalkoven;220745.0;574659.0
H;14314810;lekbee;Leek, B. v Rasquertstraat;220662.4;575026.0
H;14314820;lekbee;Leek, B. v Rasquertstraat;220672.7;574960.2
H;14314910;lekldl;Leek, Weth. I. Hutstraat;220650.6;575515.0
H;14314920;lekldl;Leek, Weth. I. Hutstraat;220642.2;575520.9
H;14315010;lekrsg;Leek, Nijenoertweg;221100.3;575626.2
H;14315020;lekrsg;Leek, Nijenoertweg;221095.8;575630.2
H;14315310;lekvvv;Leek, Centrum;222024.0;575703.0
H;14315320;lekvvv;Leek, Centrum;222017.0;575724.0
H;14315510;midnie;Midwolde, Nienoordsrand;221446.0;577218.0
H;14315520;midnie;Midwolde, Nienoordsrand;221420.0;577184.0
H;14315620;miwrw7;Leek, P+R Leek A7;221341.0;577897.0
H;14315830;miwrw7;Leek, P+R Leek A7;221402.0;578070.0
H;14315910;lekleu;Leek, Euroweg;221408.3;575669.3
H;14315920;lekleu;Leek, Euroweg;221429.4;575683.6
H;14316430;;Leek, Tolberterstraat;221467.0;576109.0
H;14316440;;Leek, Tolberterstraat;221491.0;576125.0
H;14321422;;Zonegrens 1432 1422;227760.1;573959.1
H;14322530;rdekas;Roden, Kastelenlaan;223089.0;572266.6
H;14322610;rdevij;Roden, Vijfde Verloting;223121.3;572678.9
H;14322620;rdevij;Roden, Vijfde Verloting;223029.1;572652.9
H;14322810;;Roden, Statenlaan;223610.8;572774.8
H;14322820;;Roden, Statenlaan;223620.0;572799.0
H;14322910;rdebev;Roden, Bevrijdingsplantsoen;223934.1;572863.1
H;14322920;rdebev;Roden, Bevrijdingsplantsoen;223921.3;572871.3
H;14323110;rdelee;Roden, Leeksterweg;224142.1;573367.6
H;14323120;rdelee;Roden, Leeksterweg;224190.9;573324.9
H;14323320;rdebus;Roden, Centrum;224765.6;573046.2
H;14323330;rdebus;Roden, Centrum;224751.3;573064.2
H;14323410;;Roden, Kastanjelaan;225300.9;573138.9
H;14323420;;Roden, Kastanjelaan;225229.7;573064.3
H;14323510;rdeene;Roden, 2e Energieweg;225551.0;573326.6
H;14323520;rdeene;Roden, 2e Energieweg;225544.1;573327.8
H;14323610;rdehan;Roden, Handelsweg;226173.1;573642.5
H;14323620;rdehan;Roden, Handelsweg;226053.1;573610.5
H;14323710;;Peize, Moleneind;227547.1;573927.7
H;14323720;;Peize, Moleneind;227552.0;573941.4
P;hkktr2;hkktra
P;rdebu2;rdebus
G;aaaaa;aaaaa;;
G;abdgar;abdgar;105557.4;429126.5
G;abdsns;abdsns;105064.0;429876.0
G;amrgar;amrgar;111397.1;517948.4
G;apgbij;apgbij;253628.9;593705.7
G;apggar;apggar;253629.5;593706.8
G;arrgar;arrgar;;
G;asnbij;asnbij;235115.0;558380.0
G;asngar;asngar;235115.0;558380.0
G;asngrg;asngrg;234913.7;558230.4
G;blkgar;blkgar;168436.5;545974.3
G;blrbij;blrbij;;
G;bnkgar;bnkgar;;
G;brhbij;brhbij;;
G;brkgar;brkgar;;
G;bwdgar;bwdgar;163477.3;563633.9
G;Ddg15;Ddg15;105556.0;424531.0
G;Ddg16;Ddg16;105557.0;424537.0
G;Ddg1B;Ddg1B;105529.0;424526.0
G;Ddg2A;Ddg2A;;
G;Ddg31A;Ddg31A;106102.0;424420.0
G;Ddg32A;Ddg32A;106099.0;424408.0
G;Ddg3B;Ddg3B;;
G;Ddg5;Ddg5;;
G;Ddg7;Ddg7;105515.9;424485.0
G;Ddr;ddrrem;;
G;ddrcsb;ddrcsb;105505.0;424570.0
G;ddrem;ddrem;105337.5;424623.0
G;ddrgab;ddrgab;;
G;ddrgar;ddrgar;104318.3;424462.0
G;dhggar;dhggar;80822.2;452885.5
G;dhgzic;dhgzic;;
G;dkmgar;dkmgar;196210.7;594051.5
G;dlsbij;dlsbij;;
G;dmnbij;dmnbij;;
G;drabij;drabij;200642.0;569445.0
G;dragar;dragar;200642.0;569445.0
G;dratra;dratra;;
G;dratrg;aaaaaa;;
G;drbbij;drbbij;;
G;drtbij;drtbij;;
G;dtngar;dtngar;205599.6;569593.9
G;emnbij;emnbij;258968.0;532617.0
G;emngar;emngar;257475.3;533205.0
G;emngrg;emngrg;257875.1;533104.4
G;emogar;emogar;179848.1;523442.8
G;gamgar;gamgar;118240.1;438583.9
G;GDbijh;GDbijh;;
G;gdbubu;gdbubu;;
G;Gdmg4A;Gdmg4A;146982.0;432836.0
G;Gndg2;Gnd2;116907.9;427016.3
G;gndrie;gndrie;236172.0;582854.6
G;gnelek;gnelek;232163.2;580700.3
G;gngbij;gngbij;235840.0;580760.0
G;gngbip;gngbip;232163.2;580700.3
G;gngdrb;gngdrb;236172.0;582854.6
G;gnggar;gnggar;236085.6;580761.4
G;gngied;gngied;232163.2;580700.3
G;gngpzw;gngpzw;231703.4;580744.4
G;gngstd;gngstd;236087.2;580762.4
G;gngstr;gngstr;232163.2;580700.3
G;gnstad;gnstad;232163.2;580700.3
G;gnstre;gnstre;232163.2;580700.3
G;gorgar;gorgar;127198.2;429104.8
G;grcstb;grcstb;126069.0;427260.0
G;Grg1;Grg1;126075.0;427324.0
G;Grg2;Grg2;126070.0;427330.0
G;hgnbij;hgnbij;229969.9;528357.1
G;hgngar;hgngar;229970.0;528355.0
G;hgngrg;hgngrg;230314.7;527683.5
G;hkkgar;hkkgar;230024.0;581680.2
G;hlggar;hlggar;158259.5;578062.1
G;hovarr;hovarr;;
G;hovcxx;hovcxx;;
G;hrngar;hrngar;;
G;hrvgar;hrvgar;191893.6;553570.4
G;jougar;jougar;183860.5;552757.9
G;krpgar;krpgar;99275.0;435607.0
G;ksvapg;ksvapg;253629.5;593706.8
G;ksvasn;ksvasn;234913.7;558230.4
G;ksvcts;ksvcts;;
G;ksvcxx;ksvcxx;;
G;ksvdra;ksvdra;;
G;ksvdrb;ksvdrb;;
G;ksvdvg;ksvdvg;;
G;ksvemn;ksvemn;257875.1;533104.4
G;ksvgng;ksvgng;232163.2;580700.3
G;ksvgro;ksvgro;;
G;ksvhgn;ksvhgn;229970.0;528355.0
G;ksvnuy;ksvnuy;;
G;ksvodp;ksvodp;262213.5;568824.4
G;ksvshv;ksvshv;208133.4;577010.5
G;ksvskn;ksvskn;261531.8;556101.3
G;ksvuvo;ksvuvo;;
G;ksvvmn;ksvvmn;;
G;ksvzkp;ksvzkp;215742.3;595740.0
G;Ldmg1;Ldmg1;134780.0;434045.0
G;Ldmg2;Ldmg2;134681.0;434053.0
G;lekgar;lekgar;220293.8;574435.0
G;lgwgar;lgwgar;131367.1;459677.4
G;lntbij;lntbij;;
G;lsdgar;lsdgar;;
G;ltggar;ltggar;;
G;lwagar;lwagar;181600.8;579015.1
G;lwdgar;lwdgar;180669.7;577792.7
G;masgar;masgar;131273.3;459673.2
G;mdkgar;mdkgar;75533.0;440440.0
G;mnggar;mnggar;169326.0;585390.2
G;mplbij;mplbij;208260.6;523048.8
G;mplgar;mplgar;208260.6;523048.8
G;nwgceb;nwgceb;133890.3;449055.6
G;nwggam;nwggam;135654.1;448839.6
G;nwggar;nwggar;135261.7;451566.9
G;nwgrav;nwgrav;;
G;odkgar;odkgar;;
G;odpgar;odpgar;262213.5;568824.4
G;owdgar;owdgar;216095.0;556002.0
G;pmrgar;pmrgar;;
G;rdegar;rdegar;225163.7;573415.6
G;rdkgan;rdkgan;101688.4;431969.7
G;rdkgar;rdkgar;105615.0;429140.0
G;rdktcr;rdktcr;;
G;rdrgar;rdrgar;90910.3;444275.4
G;Rsdg33;Rsdg33;90555.0;395051.0
G;rtdgan;rtdgan;;
G;rtdgaz;rtdgaz;91204.5;434315.5
G;rtdkzb;rtdkzb;96200.0;437350.0
G;rtdnob;rtdnob;92726.0;439766.0
G;rtdzpb;rtdzpb;93077.0;433475.0
G;sdmceb;sdmceb;87614.0;437460.0
G;sdmgar;sdmgar;87147.7;438934.9
G;Sdtg2;Sdt2;113006.2;426965.3
G;shvbij;shvbij;207922.8;577464.4
G;shvgar;shvgar;207923.1;577464.6
G;shvgrg;shvgrg;208133.4;577010.5
G;sknbij;sknbij;261905.0;555255.0
G;skngar;skngar;261905.0;555255.0
G;skngrg;skngrg;261531.8;556101.3
G;sllgar;sllgar;122223.6;428261.9
G;SRRbij;SRRbij;;
G;uhzgar;uhzgar;241785.0;604030.0
G;utrgad;utrgad;135745.0;454105.0
G;utrgar;utrgar;135745.5;454105.6
G;utrgas;utrgas;135637.8;452064.0
G;utrupr;utrupr;140648.3;455978.7
G;utrvs1;utrvs1;135440.2;454710.6
G;utrvs2;utrvs2;136163.6;455112.2
G;utrvs3;utrvs3;135577.0;452144.9
G;vdmbij;vdmbij;254985.0;569155.0
G;vdmgar;vdmgar;254985.0;569155.0
G;viagar;viagar;135448.2;444593.1
G;Vlg1A;Vlg1A;209676.0;375292.0
G;Vlg2B;Vlg2B;209712.0;375237.0
G;Vlg6;Vl6;209522.9;375476.6
G;Vlg9;Vlg9;209636.0;375265.0
G;wbdgar;wbdgar;150208.2;442705.3
G;wrvgar;wrvgar;135580.1;452135.7
G;wscbij;wscbij;266400.0;574890.0
G;wscgar;wscgar;266400.0;574888.0
G;zkpbij;zkpbij;215742.3;595738.3
G;zkpgar;zkpgar;215742.3;595740.0
G;ZOFbij;ZOFbij;;
G;zstgar;zstgar;145971.2;457279.4
G;ztmcwb;ztmcwb;92982.0;452915.0
G;ztmgar;ztmgar;95764.8;452085.5
G;ztmjag;ztmjag;;
G;zvhgar;zvhgar;;
T;G503;331011;10;10;gngrui;332;392;lekoos;gngrui;lekoos;E18B;;;0;1;12345;30.405;;
S;10105330;332
S;10105040;333
S;10103640;334
S;10103620;335
S;10103960;336
S;10103580;337
S;10103560;338
S;10103600;339
S;10105090;340
S;10105110;341
S;10105130;342
S;10105150;343
S;10105170;344
S;10101570;345
S;10101550;345
S;10101000;346
S;10006010;346
S;10006030;347
S;10005900;349
S;10005990;351
S;10006270;352
S;10008390;354
S;10008330;355
S;10009015;357
S;10009015;359
S;10007260;363
S;10007220;365
S;10007185;366
S;10005910;368
S;10007160;369
S;10004012;369
S;10125870;370
S;10125870;371
S;10129131;372
S;11311431;378
S;14315620;380
S;14315520;381
S;14316430;384
S;14315320;385
S;14315320;385
S;14315920;386
S;14315020;387
S;14314920;388
S;14314820;389
S;14314720;390
S;14314620;392
T;G503;331013;10;00;gngrui;352;412;lekbou;gngrui;lekbou;E18B;;;0;1;12345;29.577;;
S;10105330;352
S;10105040;353
S;10103640;354
S;10103620;355
S;10103960;356
S;10103580;357
S;10103560;358
S;10103600;359
S;10105090;360
S;10105110;361
S;10105130;362
S;10105150;363
S;10105170;364
S;10101570;365
S;10101550;365
S;10101000;366
S;10006010;366
S;10006030;367
S;10005900;369
S;10005990;371
S;10006270;372
S;10008390;374
S;10008330;375
S;10009015;377
S;10009015;379
S;10007260;383
S;10007220;385
S;10007185;386
S;10005910;388
S;10007160;389
S;10004012;389
S;10125870;390
S;10125870;391
S;10129131;392
S;11311431;398
S;14315620;400
S;14315520;401
S;14316430;404
S;14315320;405
S;14315320;405
S;14315920;406
S;14315020;407
S;14314920;408
S;14314420;409
S;14314510;410
S;14313710;412
T;G503;331015;10;00;gngrui;372;432;lekbou;gngrui;lekbou;E18B;;;0;1;12345;29.577;;
S;10105330;372
S;10105040;373
S;10103640;374
S;10103620;375
S;10103960;376
S;10103580;377
S;10103560;378
S;10103600;379
S;10105090;380
S;10105110;381
S;10105130;382
S;10105150;383
S;10105170;384
S;10101570;385
S;10101550;385
S;10101000;386
S;10006010;386
S;10006030;387
S;10005900;389
S;10005990;391
S;10006270;392
S;10008390;394
S;10008330;395
S;10009015;397
S;10009015;399
S;10007260;403
S;10007220;405
S;10007185;406
S;10005910;408
S;10007160;409
S;10004012;409
S;10125870;410
S;10125870;411
S;10129131;412
S;11311431;418
S;14315620;420
S;14315520;421
S;14316430;423
S;14315320;424
S;14315320;424
S;14315920;426
S;14315020;427
S;14314920;428
S;14314420;429
S;14314510;430
S;14313710;432
T;G503;331017;10;10;gngrui;392;452;lekoos;gngrui;lekoos;E18B;;;0;1;12345;30.405;;
S;10105330;392
S;10105040;393
S;10103640;394
S;10103620;395
S;10103960;396
S;10103580;397
S;10103560;398
S;10103600;399
S;10105090;400
S;10105110;401
S;10105130;402
S;10105150;403
S;10105170;404
S;10101570;405
S;10101550;405
S;10101000;406
S;10006010;406
S;10006030;407
S;10005900;409
S;10005990;411
S;10006270;412
S;10008390;414
S;10008330;415
S;10009015;417
S;10009015;419
S;10007260;423
S;10007220;425
S;10007185;426
S;10005910;428
S;10007160;429
S;10004012;429
S;10125870;430
S;10125870;431
S;10129131;432
S;11311431;438
S;14315620;440
S;14315520;441
S;14316430;443
S;14315320;444
S;14315320;444
S;14315920;446
S;14315020;447
S;14314920;448
S;14314820;449
S;14314720;450
S;14314620;452
T;G503;331019;10;00;gngrui;407;470;lekbou;gngrui;lekbou;E18B;;;0;1;12345;29.577;;
S;10105330;407
S;10105040;408
S;10103640;409
S;10103620;410
S;10103960;411
S;10103580;412
S;10103560;413
S;10103600;414
S;10105090;415
S;10105110;416
S;10105130;417
S;10105150;418
S;10105170;419
S;10101570;420
S;10101550;420
S;10101000;421
S;10006010;421
S;10006030;422
S;10005900;424
S;10005990;426
S;10006270;428
S;10008390;431
S;10008330;433
S;10009015;435
S;10009015;437
S;10007260;441
S;10007220;443
S;10007185;444
S;10005910;446
S;10007160;447
S;10004012;447
S;10125870;448
S;10125870;449
S;10129131;450
S;11311431;456
S;14315620;458
S;14315520;459
S;14316430;461
S;14315320;462
S;14315320;462
S;14315920;464
