C;c:\optibus\bru_elec_qlink.txt
V;378_2020;1;nwe_gar;1
G;abdgar;abdgar;105903.0;428726.6
G;amrgar;amrgar;111397.1;517948.4
G;apgbij;apgbij;253628.9;593705.7
G;apggar;apggar;253629.5;593706.8
G;arrgar;arrgar;;
G;asnbij;asnbij;235115.0;558380.0
G;asngar;asngar;235115.0;558380.0
G;blkgar;blkgar;168436.5;545974.3
G;blrbij;blrbij;;
G;bnkgar;bnkgar;;
G;brhbij;brhbij;;
G;brkgar;brkgar;;
G;bwdgar;bwdgar;163477.3;563633.9
G;Ddg15;Ddg15;105556.0;424531.0
G;Ddg16;Ddg16;105557.0;424537.0
G;Ddg1B;Ddg1B;105529.0;424526.0
G;Ddg2A;Ddg2A;;
G;Ddg31A;Ddg31A;106102.0;424420.0
G;Ddg32A;Ddg32A;106099.0;424408.0
G;Ddg3B;Ddg3B;;
G;Ddg5;Ddg5;;
G;Ddr;ddrrem;;
G;ddrcsb;ddrcsb;105505.0;424570.0
G;ddrem;ddrem;105337.5;424623.0
G;ddrgab;ddrgab;;
G;ddrgar;ddrgar;104318.3;424462.0
G;dhggar;dhggar;80822.2;452885.5
G;dhgzic;dhgzic;;
G;dkmgar;dkmgar;196210.7;594051.5
G;dlsbij;dlsbij;;
G;dmnbij;dmnbij;;
G;drabij;drabij;200642.0;569445.0
G;dragar;dragar;200642.0;569445.0
G;drbbij;drbbij;;
G;drtbij;drtbij;;
G;dtngar;dtngar;205599.6;569593.9
G;emnbij;emnbij;258968.0;532617.0
G;emngar;emngar;257475.3;533205.0
G;emogar;emogar;179848.1;523442.8
G;gamgar;gamgar;118240.1;438583.9
G;GDbijh;GDbijh;;
G;gdbubu;gdbubu;;
G;Gdmg4A;Gdmg4A;146982.0;432836.0
G;Gndg2;Gnd2;116907.9;427016.3
G;gndrie;gndrie;236268.0;581997.7
G;gnelek;gnelek;232163.2;580700.3
G;gngbij;gngbij;235840.0;580760.0
G;gngbip;gngbip;232163.2;580700.3
G;gngdrb;gngdrb;236268.0;581997.7
G;gnggar;gnggar;236085.6;580761.4
G;gngied;gngied;232163.2;580700.3
G;gngpzw;gngpzw;;
G;gngstd;gngstd;236087.2;580762.4
G;gngstr;gngstr;232163.2;580700.3
G;gnstad;gnstad;232163.2;580700.3
G;gnstre;gnstre;232163.2;580700.3
G;grcstb;grcstb;126069.0;427260.0
G;Grg1;Grg1;126075.0;427324.0
G;Grg2;Grg2;126070.0;427330.0
G;hgnbij;hgnbij;229969.9;528357.1
G;hgngar;hgngar;229970.0;528355.0
G;hgngrg;hgngrg;;
G;hkkgar;hkkgar;230024.0;581680.2
G;hlggar;hlggar;158259.5;578062.1
G;hovarr;hovarr;;
G;hovcxx;hovcxx;;
G;hrngar;hrngar;;
G;hrvgar;hrvgar;191893.6;553570.4
G;jougar;jougar;183860.5;552757.9
G;krpgar;krpgar;99275.0;435607.0
G;ksvcts;ksvcts;;
G;ksvcxx;ksvcxx;;
G;ksvdrb;ksvdrb;;
G;ksvdvg;ksvdvg;;
G;ksvgro;ksvgro;;
G;ksvnuy;ksvnuy;;
G;ksvuvo;ksvuvo;;
G;ksvvmn;ksvvmn;;
G;Ldmg1;Ldmg1;134780.0;434045.0
G;Ldmg2;Ldmg2;134681.0;434053.0
G;lekgar;lekgar;220293.8;574435.0
G;lgwgar;lgwgar;131367.1;459677.4
G;lntbij;lntbij;;
G;lsdgar;lsdgar;;
G;ltggar;ltggar;;
G;lwagar;lwagar;181600.8;579015.1
G;lwdgar;lwdgar;180669.7;577792.7
G;masgar;masgar;131273.3;459673.2
G;mdkgar;mdkgar;75533.0;440440.0
G;mnggar;mnggar;169326.0;585390.2
G;mplbij;mplbij;208260.6;523048.8
G;mplgar;mplgar;208260.6;523048.8
G;nwgceb;nwgceb;133890.3;449055.6
G;nwggam;nwggam;135654.1;448839.6
G;nwggar;nwggar;135261.7;451566.9
G;nwgrav;nwgrav;;
G;odkgar;odkgar;;
G;odpgar;odpgar;262213.5;568824.4
G;owdgar;owdgar;216095.0;556002.0
G;pmrgar;pmrgar;;
G;rdegar;rdegar;225163.7;573415.6
G;rdkgar;rdkgar;101713.0;431998.0
G;rdktcr;rdktcr;;
G;rdrgar;rdrgar;90910.3;444275.4
G;Rsdg33;Rsdg33;90555.0;395051.0
G;rtdgan;rtdgan;;
G;rtdgaz;rtdgaz;91204.5;434315.5
G;rtdkzb;rtdkzb;96200.0;437350.0
G;rtdnob;rtdnob;92726.0;439766.0
G;rtdzpb;rtdzpb;93077.0;433475.0
G;sdmceb;sdmceb;87614.0;437460.0
G;sdmgar;sdmgar;87147.7;438934.9
G;Sdtg2;Sdt2;113006.2;426965.3
G;shvbij;shvbij;207922.8;577464.4
G;shvgar;shvgar;207923.1;577464.6
G;shvgrg;shvgrg;208133.4;577010.5
G;sknbij;sknbij;261905.0;555255.0
G;skngar;skngar;261905.0;555255.0
G;skngrg;skngrg;261952.0;556288.0
G;sllgar;sllgar;122223.6;428261.9
G;SRRbij;SRRbij;;
G;uhzgar;uhzgar;241785.0;604030.0
G;utrgad;utrgad;135745.0;454105.0
G;utrgar;utrgar;135745.5;454105.6
G;utrgas;utrgas;135637.8;452064.0
G;utrupr;utrupr;140648.3;455978.7
G;utrvs1;utrvs1;135440.2;454710.6
G;utrvs2;utrvs2;136163.6;455112.2
G;utrvs3;utrvs3;135577.0;452144.9
G;vdmbij;vdmbij;254985.0;569155.0
G;vdmgar;vdmgar;254985.0;569155.0
G;viagar;viagar;135448.2;444593.1
G;Vlg1A;Vlg1A;209676.0;375292.0
G;Vlg2B;Vlg2B;209712.0;375237.0
G;Vlg6;Vl6;209522.9;375476.6
G;Vlg9;Vlg9;209636.0;375265.0
G;wbdgar;wbdgar;150208.2;442705.3
G;wrvgar;wrvgar;135580.1;452135.7
G;wscbij;wscbij;266400.0;574890.0
G;wscgar;wscgar;266400.0;574888.0
G;zkpbij;zkpbij;215742.3;595738.3
G;zkpgar;zkpgar;215742.3;595740.0
G;ZOFbij;ZOFbij;;
G;zstgar;zstgar;145971.2;457279.4
G;ztmcwb;ztmcwb;92982.0;452915.0
G;ztmgar;ztmgar;95764.8;452085.5
G;ztmjag;ztmjag;;
G;zvhgar;zvhgar;;
S;59151780;345
S;59151760;347
S;59150460;347
S;59151590;348
S;59150340;349
S;59150300;350
S;50000520;351
S;50000480;352
S;50000460;353
S;50000440;355
S;50000420;356
S;50000160;359
S;50000202;363
S;59151780;360
S;59151760;362
S;59150460;362
S;59151590;363
S;59150340;364
S;59150300;365
S;50000520;366
S;50000480;367
S;50000460;368
S;50000440;370
S;50000420;371
S;50000160;374
S;50000202;378
S;59151780;375
S;59151760;377
S;59150460;377
S;59151590;378
S;59150340;379
S;59150300;380
S;50000520;381
S;50000480;382
S;50000460;383
S;50000440;385
S;50000420;386
S;50000160;389
S;50000202;393
S;50000201;368
S;50000189;369
S;50001460;371
S;50001480;373
S;50000570;374
S;50000034;374
S;50000400;375
S;50000220;376
S;50005997;377
S;59150860;379
S;59150221;380
S;59151250;381
S;59150820;382
S;59150800;383
S;59150780;384
S;59150760;385
S;59150740;386
S;59150720;387
S;59150190;388
S;59150250;388
S;59151780;390
S;59151760;392
S;59150460;392
S;59151590;393
S;59150340;394
S;59150300;395
S;50000520;396
S;50000480;397
S;50000460;398
S;50000440;400
S;50000420;401
S;50000160;404
S;50000202;408
S;50000201;383
S;50000189;384
S;50001460;386
S;50001480;388
S;50000570;389
S;50000034;389
S;50000400;390
S;50000220;391
S;50005997;392
S;59150860;394
S;59150221;395
S;59151250;396
S;59150820;397
S;59150800;398
S;59150780;399
S;59150760;400
S;59150740;401
S;59150720;402
S;59150190;403
S;59150250;403
S;59151780;405
S;59151760;407
S;59150460;408
S;59151590;409
S;59150340;410
S;59150300;411
S;50000520;412
S;50000480;413
S;50000460;414
S;50000440;416
S;50000420;417
S;50000160;421
S;50000202;425
S;50000201;396
S;50000189;397
S;50001460;399
S;50001480;401
S;50000570;402
S;50000034;402
S;50000400;403
S;50000220;404
S;50005997;405
S;59150860;407
S;59150221;408
S;59151250;409
S;59150820;410
S;59150800;411
S;59150780;412
S;59150760;413
S;59150740;414
S;59150720;415
S;59150190;416
S;59150250;416
S;59151780;418
S;59151760;420
S;59150460;421
S;59151590;422
S;59150340;423
S;59150300;424
S;50000520;425
S;50000480;426
S;50000460;427
S;50000440;429
S;50000420;430
S;50000160;434
S;50000202;438
S;50000201;406
S;50000189;408
S;50001460;410
S;50001480;412
S;50000570;413
S;50000034;413
S;50000400;414
S;50000220;415
S;50005997;417
S;59150860;418
S;59150221;420
S;59151250;421
S;59150820;422
S;59150800;423
S;59150780;424
S;59150760;425
S;59150740;426
S;59150720;427
S;59150190;428
S;59150250;428
S;59151780;430
S;59151760;432
S;59150460;433
S;59151590;434
S;59150340;435
S;59150300;436
S;50000520;437
S;50000480;439
S;50000460;440
S;50000440;442
S;50000420;443
S;50000160;447
S;50000202;453
S;50000201;416
S;50000189;418
S;50001460;420
S;50001480;422
S;50000570;423
S;50000034;423
S;50000400;424
S;50000220;425
S;50005997;427
S;59150860;428
S;59150221;430
S;59151250;431
S;59150820;432
S;59150800;433
S;59150780;434
S;59150760;435
S;59150740;436
S;59150720;437
S;59150190;438
S;59150250;438
S;59151780;440
S;59151760;442
S;59150460;443
S;59151590;444
S;59150340;446
S;59150300;448
S;50000520;449
S;50000480;451
S;50000460;452
S;50000440;454
S;50000420;455
S;50000160;459
S;50000202;465
S;50000201;426
S;50000189;428
S;50001460;430
S;50001480;432
S;50000570;433
S;50000034;433
S;50000400;434
S;50000220;435
S;50005997;437
S;59150860;438
S;59150221;440
S;59151250;441
S;59150820;442
S;59150800;443
S;59150780;444
S;59150760;445
S;59150740;446
S;59150720;447
S;59150190;448
S;59150250;448
S;59151780;450
S;59151760;452
S;59150460;453
S;59151590;454
S;59150340;456
S;59150300;458
S;50000520;459
S;50000480;461
S;50000460;462
S;50000440;464
S;50000420;465
S;50000160;469
S;50000202;475
S;50000201;436
S;50000189;438
S;50001460;440
S;50001480;442
S;50000570;443
S;50000034;444
S;50000400;445
S;50000220;446
S;50005997;448
S;59150860;449
S;59150221;451
S;59151250;452
S;59150820;453
S;59150800;454
S;59150780;455
S;59150760;456
S;59150740;457
S;59150720;458
S;59150190;459
S;59150250;459
S;59151780;461
S;59151760;463
S;59150460;464
S;59151590;465
S;59150340;467
S;59150300;469
S;50000520;470
S;50000480;472
S;50000460;473
S;50000440;475
S;50000420;476
S;50000160;480
S;50000202;486
S;50000201;446
S;50000189;448
S;50001460;450
S;50001480;452
S;50000570;453
S;50000034;454
S;50000400;455
S;50000220;456
S;50005997;458
S;59150860;459
S;59150221;461
S;59151250;462
S;59150820;463
S;59150800;464
S;59150780;465
S;59150760;466
S;59150740;467
S;59150720;468
S;59150190;469
S;59150250;469
S;59151780;471
S;59151760;473
S;59150460;474
S;59151590;475
S;59150340;477
S;59150300;479
S;50000520;480
S;50000480;482
S;50000460;483
S;50000440;485
S;50000420;486
S;50000160;490
S;50000202;496
S;50000201;456
S;50000189;458
S;50001460;460
S;50001480;462
S;50000570;463
S;50000034;464
S;50000400;465
S;50000220;466
S;50005997;468
S;59150860;469
S;59150221;471
S;59151250;472
S;59150820;473
S;59150800;474
S;59150780;475
S;59150760;476
S;59150740;477
S;59150720;478
S;59150190;479
S;59150250;479
S;59151780;481
S;59151760;483
S;59150460;484
S;59151590;485
S;59150340;487
S;59150300;489
S;50000520;490
S;50000480;492
S;50000460;493
S;50000440;495
S;50000420;496
S;50000160;500
S;50000202;506
S;50000201;466
S;50000189;468
S;50001460;470
S;50001480;472
S;50000570;473
S;50000034;474
S;50000400;475
S;50000220;476
S;50005997;478
S;59150860;479
S;59150221;481
S;59151250;482
S;59150820;483
S;59150800;484
S;59150780;485
S;59150760;486
S;59150740;487
S;59150720;488
S;59150190;489
S;59150250;489
S;59151780;491
S;59151760;493
S;59150460;494
S;59151590;495
S;59150340;497
S;59150300;499
S;50000520;500
S;50000480;502
S;50000460;503
S;50000440;505
S;50000420;506
S;50000160;510
S;50000202;516
S;50000201;476
S;50000189;478
S;50001460;480
S;50001480;482
S;50000570;483
S;50000034;484
S;50000400;485
S;50000220;486
S;50005997;488
S;59150860;489
S;59150221;491
S;59151250;492
S;59150820;493
S;59150800;494
S;59150780;495
S;59150760;496
S;59150740;497
S;59150720;498
S;59150190;499
S;59150250;499
S;59151780;501
S;59151760;503
S;59150460;504
S;59151590;505
S;59150340;507
S;59150300;509
S;50000520;510
S;50000480;512
S;50000460;513
S;50000440;515
S;50000420;516
S;50000160;520
S;50000202;526
S;50000201;486
S;50000189;488
S;50001460;490
S;50001480;492
S;50000570;493
S;50000034;494
S;50000400;495
S;50000220;496
S;50005997;498
S;59150860;499
S;59150221;501
S;59151250;502
S;59150820;503
S;59150800;504
S;59150780;505
S;59150760;506
S;59150740;507
S;59150720;508
S;59150190;509
S;59150250;509
S;59151780;511
S;59151760;513
S;59150460;514
S;59151590;515
S;59150340;517
S;59150300;519
S;50000520;520
S;50000480;522
S;50000460;523
S;50000440;525
S;50000420;526
S;50000160;530
S;50000202;534
S;50000201;496
S;50000189;498
S;50001460;500
S;50001480;502
S;50000570;503
S;50000034;504
S;50000400;505
S;50000220;506
S;50005997;508
S;59150860;509
S;59150221;511
S;59151250;512
S;59150820;513
S;59150800;514
S;59150780;515
S;59150760;516
S;59150740;517
S;59150720;518
S;59150190;519
S;59150250;519
S;59151780;521
S;59151760;523
S;59150460;524
S;59151590;525
S;59150340;527
S;59150300;529
S;50000520;530
S;50000480;532
S;50000460;533
S;50000440;535
S;50000420;536
S;50000160;540
S;50000202;544
S;50000201;506
S;50000189;508
S;50001460;510
S;50001480;512
S;50000570;513
S;50000034;514
S;50000400;515
S;50000220;516
S;50005997;518
S;59150860;519
S;59150221;521
S;59151250;522
S;59150820;523
S;59150800;524
S;59150780;525
S;59150760;526
S;59150740;527
S;59150720;528
S;59150190;529
S;59150250;529
S;59151780;531
S;59151760;533
S;59150460;534
S;59151590;535
S;59150340;537
S;59150300;538
S;50000520;539
S;50000480;541
S;50000460;542
S;50000440;544
S;50000420;545
S;50000160;549
S;50000202;553
S;50000201;516
S;50000189;518
S;50001460;520
S;50001480;522
S;50000570;523
S;50000034;524
S;50000400;525
S;50000220;526
S;50005997;528
S;59150860;529
S;59150221;531
S;59151250;532
S;59150820;533
S;59150800;534
S;59150780;535
S;59150760;536
S;59150740;537
S;59150720;538
S;59150190;539
S;59150250;539
S;59151780;541
S;59151760;543
S;59150460;544
S;59151590;545
S;59150340;547
S;59150300;548
S;50000520;549
S;50000480;551
S;50000460;552
S;50000440;554
S;50000420;555
S;50000160;559
S;50000202;563
S;50000201;526
S;50000189;528
S;50001460;530
S;50001480;532
S;50000570;533
S;50000034;533
S;50000400;534
S;50000220;535
S;50005997;537
S;59150860;538
S;59150221;540
S;59151250;541
S;59150820;542
S;59150800;543
S;59150780;544
S;59150760;545
S;59150740;546
S;59150720;547
S;59150190;548
S;59150250;548
S;59151780;550
S;59151760;552
S;59150460;553
S;59151590;554
S;59150340;556
S;59150300;557
S;50000520;558
S;50000480;560
S;50000460;561
S;50000440;563
S;50000420;564
S;50000160;568
S;50000202;572
S;50000201;536
S;50000189;538
S;50001460;540
S;50001480;542
S;50000570;543
S;50000034;543
S;50000400;544
S;50000220;545
S;50005997;547
S;59150860;548
S;59150221;550
S;59151250;551
