C;c:\optibus\utr2021_elec.txt
V;STD20;1;UTR2020kn;1
H;50000460;utrcon;Utrecht, Concordiastraat;135239.7;457035.1
H;50000470;;Utrecht, Watertoren;134961.5;457319.0
H;50000480;;Utrecht, Watertoren;134999.9;457264.8
H;50000520;utrmar;Utrecht, Marnixlaan;134714.8;457545.1
H;50000530;utrnij;Utrecht, Nijenoord;135699.0;457229.0
H;50000540;utrnij;Utrecht, Nijenoord;135722.0;457245.0
H;50000570;;Utrecht, David van Mollemstraat;135983.4;456936.3
H;50000581;;Utrecht, Marnixlaan;134848.0;457564.0
H;50000610;;Utrecht, Afrikalaan;135281.9;453680.7
H;50000630;utrwit;Utrecht, Wittevrouwen;137532.5;456365.9
H;50000640;utrwit;Utrecht, Wittevrouwen;137474.2;456373.5
H;50000650;utroor;Utrecht, Oorsprongpark (Perron B);137942.0;456401.0
H;50000660;utroor;Utrecht, Oorsprongpark (Perron A);137898.5;456408.3
H;50000670;;BRUGDUMMY Utrecht, David van Mollembrug;136130.4;456991.9
H;50000671;utrvdg;Utrecht, Vasco da Gamalaan;135495.0;453315.0
H;50000680;utroor;Utrecht, Oorsprongpark (Perron C);137961.8;456334.6
H;50000682;utrvdg;Utrecht, Vasco da Gamalaan;135471.0;453420.0
H;50000700;utrsar;Utrecht, Sartreweg;138265.0;457006.0
H;50000701;utrsar;Utrecht, Sartreweg;138188.0;457174.0
H;50000710;utrsar;Utrecht, Sartreweg;138299.0;457075.0
H;50000720;;Utrecht, Veemarkt;138714.0;457212.0
H;50000781;;Utrecht, Moskeeplein;135656.5;456013.9
H;50000790;utrhas;Utrecht, Hasebroekstraat;135134.0;456171.0
H;50000800;utrhas;Utrecht, Hasebroekstraat;135184.0;456139.0
H;50000830;utrmaj;Utrecht, Majellapark;134466.0;456326.0
H;50000841;utrmaj;Utrecht, Majellapark;134496.0;456303.0
H;50000870;;Utrecht, Van Koetsveldstraat;134867.0;456225.0
H;50000880;;Utrecht, Van Koetsveldstraat;134882.0;456213.0
H;50000920;utrzui;Utrecht, Station Zuilen;134580.0;457269.0
H;50000950;utrbal;Utrecht, Balijelaan (Perron C);136313.2;454443.2
H;50000960;utrbal;Utrecht, Balijelaan (Perron D);136270.1;454402.5
H;50000970;utrbl1;Utrecht, Balijebrug;135807.2;454313.9
H;50000980;utrblb;Utrecht, Balijebrug;135775.4;454285.7
H;50001001;utrste;Utrecht, Sterrenwijk;137214.0;454742.0
H;50001010;utrste;Utrecht, Sterrenwijk;137233.0;454695.0
H;50001030;utrrub;Utrecht, Rubenslaan;137831.9;454618.6
H;50001050;utrdiz;Utrecht, Diakonessenhuis-Zuid;138095.7;454630.2
H;50001080;utrdiz;Utrecht, Diakonessenhuis-Zuid;138046.0;454640.0
H;50001090;utrrub;Utrecht, Rubenslaan;137808.3;454595.7
H;50001111;;BRUGDUMMY Utrecht, Rode Brug;135827.6;457614.9
H;50001210;utrknz;Utrecht, Kanaleneiland-Zuid (Perron E);135782.0;452732.0
H;50001220;utrknz;Utrecht, Kanaleneiland-Zuid (Perron C);135806.0;452685.0
H;50001221;utrknz;Utrecht, Kanaleneiland-Zuid (Perron D);135801.0;452692.0
H;50001232;utreuo;Utrecht, Europaplein-Oost;135888.9;453216.5
H;50001241;utreuo;Utrecht, Europaplein-Oost;135906.8;453194.8
H;50001270;utrsoc;Utrecht, Socrateslaan;136295.5;453250.2
H;50001282;utrsoc;Utrecht, Socrateslaan;136294.9;453235.3
H;50001290;utrgoy;Utrecht, 't Goylaan;136704.1;453112.4
H;50001300;utrgoy;Utrecht, 't Goylaan;136754.3;453127.2
H;50001310;;Utrecht, Rijnhuizenlaan;136739.0;453448.0
H;50001320;;Utrecht, Rijnhuizenlaan;136768.0;453495.0
H;50001330;utraqu;Utrecht, Aquamarijnlaan;136849.5;453849.6
H;50001340;utraqu;Utrecht, Aquamarijnlaan;136833.0;453740.0
H;50001350;;Utrecht, Tolsteegplantsoen;136890.9;454211.7
H;50001360;;Utrecht, Tolsteegplantsoen;136902.9;454174.7
H;50001370;utrvon;Utrecht, Station Vaartsche Rijn (Perron D);136725.3;454500.9
H;50001380;utrvon;Utrecht, Station Vaartsche Rijn (Perron C);136742.7;454504.1
H;50001390;utrerz;Utrecht, Constant Erzeijstraat;136675.0;453190.7
H;50001391;utrerz;Utrecht, Constant Erzeijstraat;136675.0;453190.7
H;50001400;utrerz;Utrecht, Constant Erzeijstraat;136690.0;453204.0
H;50001401;utrerz;Utrecht, Constant Erzeijstraat;136690.0;453204.0
H;50001450;utrjac;Utrecht, Sint Jacobsstraat;136312.1;456243.7
H;50001460;utrjac;Utrecht, Sint Jacobsstraat;136316.0;456280.0
H;50001470;;Utrecht, Oudenoord;136125.0;456690.0
H;50001480;;Utrecht, Oudenoord;136083.2;456740.3
H;50001490;;Utrecht, David van Mollemstraat;135932.0;456881.0
H;50001500;;Utrecht, David van Mollemstraat;135924.0;456966.0
H;50001530;utreur;Utrecht, Europaplein-Noord;135793.3;453258.8
H;50001540;utreur;Utrecht, Europaplein-Noord;135789.0;453412.0
H;50001550;utrkon;Utrecht, Koningin Wilhelminalaan;135371.0;454174.0
H;50001560;utrkon;Utrecht, Koningin Wilhelminalaan;135311.6;454134.0
H;50001570;utrann;Utrecht, Lanslaan;135709.3;453927.2
H;50001580;utran1;Utrecht, Lanslaan;135694.4;453924.4
H;50001650;;Utrecht, Pedro Luis Brionstraat;138436.1;458106.3
H;50001660;;Utrecht, Pedro Luis Brionstraat;138435.1;458059.9
H;50001670;;Utrecht, Simon Bolivarstraat;138406.7;457843.9
H;50001680;;Utrecht, Simon Bolivarstraat;138428.5;457861.0
H;50001690;;Utrecht, Kemal Ataturkstraat;138237.1;457626.0
H;50001700;;Utrecht, Kemal Ataturkstraat;138283.3;457639.7
H;50001730;utrgaa;Utrecht, De Gaard;137860.8;457603.2
H;50001740;utrgaa;Utrecht, De Gaard;137869.0;457610.0
H;50001810;utrnoo;Utrecht, Willem van Noortplein;136881.0;457153.0
H;50001820;utrnoo;Utrecht, Willem van Noortplein;136910.0;457197.0
H;50001830;;Utrecht, Willem van Noortstraat;136614.5;456892.8
H;50001840;;Utrecht, Willem van Noortstraat;136711.9;456975.1
H;50001850;;Utrecht, Adelaarstraat;136378.7;456805.1
H;50001860;;Utrecht, Adelaarstraat;136392.1;456800.3
H;50001930;;Utrecht, Paramaribostraat;134394.5;456143.7
H;50001940;;Utrecht, Paramaribostraat;134388.0;456136.0
H;50001950;;Utrecht, Racinelaan;134145.6;455880.0
H;50001960;;Utrecht, Racinelaan;134181.6;455869.0
H;50001970;utreve;Utrecht, Everard Meysterlaan;134145.6;455462.7
H;50001980;utreve;Utrecht, Everard Meysterlaan;134180.1;455552.1
H;50002000;;Utrecht, Den Hommel;134390.2;455022.5
H;50002010;;Utrecht, Den Hommel;134503.0;454941.0
H;50002022;;Utrecht, Welgelegen;134611.1;454862.9
H;50002040;;BRUGDUMMY Utrecht, Rode Brug;135820.0;457609.0
H;50002070;utrgra;Utrecht, Graadt van Roggenweg;135393.0;455630.0
H;50002080;utrgra;Utrecht, Graadt van Roggenweg;135432.0;455611.0
H;50002090;utrokt;Utrecht, 24 Oktoberplein-Zuid;134782.8;454560.7
H;50002100;utrokt;Utrecht, 24 Oktoberplein-Zuid;134795.5;454632.8
H;50002110;utrmei;Utrecht, 5 Mei Plein;135032.1;454112.0
H;50002111;;Utrecht, Loevenhoutsedijk;136030.5;457780.3
H;50002120;utrmei;Utrecht, 5 Mei Plein;135033.9;454198.7
H;50002128;utrvas;Utrecht, Bontekoelaan;135097.4;453171.5
H;50002129;utrvas;Utrecht, Bontekoelaan;135101.1;453184.3
H;50002131;;Utrecht, Anton Geesinkstraat;135736.6;457547.8
H;50002140;utrvdg;Utrecht, Vasco da Gamalaan;135488.1;453389.8
H;50002142;;Utrecht, Anton Geesinkstraat;135790.5;457565.5
H;50002150;utrkz;Utrecht, Kanaleneiland-Zuid (Perron B);135777.0;452727.0
H;50002160;utrkz;Utrecht, Kanaleneiland-Zuid (Perron A);135795.0;452806.0
H;50002170;utrvdg;Utrecht, Vasco da Gamalaan;135500.3;453296.0
H;50002180;utrwes;Utrecht, P+R Westraven (Perron A);135751.0;452068.0
H;50002190;;BRUGDUMMY Utrecht, Vondelbrug;136803.4;454455.0
H;50002191;utrove;Utrecht, Station Overvecht (Perron D);137025.0;458152.0
H;50002193;utrove;Utrecht, Station Overvecht (Perron B);137010.0;458140.0
H;50002220;;Utrecht, Moreelsepark;136351.0;455668.0
H;50002240;utrbee;Utrecht, Nicolaas Beetsstraat;136548.7;455329.4
H;50002260;utrbou;Utrecht, Hoogh Boulandt;136688.1;455024.9
H;50002270;;Utrecht, Van Heuven Goedhartlaan;134684.1;454540.1
H;50002280;;Utrecht, Van Heuven Goedhartlaan;134647.5;454505.4
H;50002290;utrpel;Utrecht, Peltlaan;134435.3;454401.1
H;50002300;utrpel;Utrecht, Peltlaan;134402.4;454375.5
H;50002350;utrhft;Utrecht, Hooft Graaflandstraat;136640.6;453083.2
H;50002360;utrhft;Utrecht, Hooft Graaflandstraat;136654.3;453094.0
H;50002370;utrkps;Utrecht, Karperstraat;136563.5;452817.5
H;50002380;utrkps;Utrecht, Karperstraat;136579.9;452846.5
H;50002390;;Utrecht, Kastelenplantsoen;136529.0;452553.5
H;50002400;;Utrecht, Kastelenplantsoen;136470.9;452478.5
H;50002510;;Utrecht, Ravellaan;135062.7;455229.9
H;50002530;utrodo;Utrecht, Overste den Oudenlaan;135154.9;455023.9
H;50002540;utrodo;Utrecht, Overste den Oudenlaan;135165.0;455189.6
H;50002550;utrbij;Utrecht, Van Bijnkershoeklaan;134967.6;454702.9
H;50002560;utrbij;Utrecht, Van Bijnkershoeklaan;135062.7;454750.5
H;50002590;utrmap;Utrecht, Marco Pololaan;134956.6;453732.5
H;50002600;utrmap;Utrecht, Marco Pololaan;135015.1;453673.7
H;50002610;;Utrecht, Columbuslaan/Afrikalaan;134921.8;453475.1
H;50002620;;Utrecht, Columbuslaan/Afrikalaan;134952.9;453453.2
H;50002650;utrazi;Utrecht, Aziëlaan;135267.5;452863.2
H;50002660;utrazi;Utrecht, Aziëlaan;135234.6;452954.7
H;50002670;utraus;Utrecht, Australiëlaan;135466.9;452902.4
H;50002680;;Utrecht, Hollantlaan;135362.6;452741.4
H;50002800;utrhij;Utrecht, Hijmans v.d. Berghlaan;137811.5;457350.7
H;50003030;utrrob;Utrecht, Robijnlaan;137300.5;453777.7
H;50003040;utrrob;Utrecht, Robijnlaan;137319.1;453834.3
H;50003050;;Utrecht, Slotlaan;137297.7;453560.4
H;50003060;;Utrecht, Slotlaan;137291.3;453544.6
H;50003070;;Utrecht, Brennerbrug;137410.6;453300.3
H;50003080;;Utrecht, Brennerbrug;137418.2;453309.0
H;50003090;;Utrecht, Dolomieten;137499.9;452804.6
H;50003100;;Utrecht, Dolomieten;137521.7;452852.5
H;50003110;utrsim;Utrecht, Simplonbaan;137486.8;452394.7
H;50003120;utrsim;Utrecht, Simplonbaan;137503.2;452389.3
H;50003130;;Utrecht, De Koppel;137782.3;452286.4
H;50003140;;Utrecht, De Koppel;137769.2;452292.1
H;50003150;;Utrecht, Sleeswijk;137927.4;452504.2
H;50003160;;Utrecht, Sleeswijk;137921.6;452479.7
H;50003170;;Utrecht, Betuwe;137940.9;452810.6
H;50003180;;Utrecht, Betuwe;137964.6;452879.1
H;50003260;;Utrecht, Afrikalaan;135258.1;453797.5
H;50003310;;Utrecht, Juliusstraat;137170.0;457356.0
H;50003315;;Utrecht, Van Everdingenlaan;137845.0;457174.0
H;50003320;;Utrecht, Juliusstraat;137097.0;457419.0
H;50003325;;Utrecht, Van Everdingenlaan;137774.1;457210.0
H;50003327;;Utrecht, Hengeveldstraat;137575.3;457214.4
H;50003330;utrvdb;Utrecht, Vredenburg;136208.0;456113.0
H;50003340;utrvdb;Utrecht, Vredenburg;136269.0;456129.0
H;50003350;utrsch;Utrecht, Stadsschouwburg;137139.3;456110.4
H;50003360;utrneu;Utrecht, Neude;136495.0;456167.8
H;50003370;utrjkh;Utrecht, Janskerkhof;136814.7;456130.0
H;50003400;utrhoo;Utrecht, Van Hoornekade;135118.0;457846.0
H;50003551;utrgal;Utrecht, Herculesplein/Stadion;138307.0;454559.0
H;50003610;;Utrecht, Anton Geesinkstraat;135686.0;457538.0
H;50003620;;Utrecht, Anton Geesinkstraat;135686.0;457521.0
H;50003630;utrond;Utrecht, Ondiep;135439.0;457685.0
H;50003640;utrond;Utrecht, Ondiep;135498.0;457631.0
H;50003660;utrhoo;Utrecht, Van Hoornekade;135237.0;457829.0
H;50003790;utrkan;Utrecht, Kanaleneiland (Perron A);134843.8;453875.4
H;50003800;utrkan;Utrecht, Kanaleneiland (Perron B);134848.9;453869.9
H;50003810;utrkan;Utrecht, Kanaleneiland (Perron C);134925.0;453933.0
H;50003820;utrkan;Utrecht, Kanaleneiland (Perron D);134864.0;453861.7
H;50005000;;BRUGDUMMY Utrecht, Vondelbrug;136832.4;454456.4
H;50005010;zg1000;zonegrens 5000-5010;138732.2;453632.4
H;50005093;;zonegrens 5000-5019;135566.8;452363.3
H;50005098;;zonegrens 5000-5010;138416.7;456472.8
H;50005099;;zonegrens 5000-5010;138563.0;455934.6
H;50005118;;zonegrens 5000-5118;136721.7;451765.0
H;50005165;;zonegrens 5000-5118;135916.0;452236.6
H;50005196;;zonegrens 5000-5111;135715.0;452517.3
H;50005197;;zonegrens 5000-5111;134029.8;454574.6
H;50005198;;zonegrens 5000-5111;134362.3;453631.3
H;50005199;;zonegrens 5000-5111;133678.7;456682.9
H;50005210;utrbet;Utrecht, Beethovenlaan;134219.3;455136.8
H;50005503;;BRUGDUMMY Utrecht, Zuiderbrug;136375.0;453204.0
H;50005514;;BRUGDUMMY Utrecht, Zuiderbrug;136378.0;453218.0
H;50005914;;zonegrens 5000-5914;133706.6;456661.4
H;50005970;utrvar;Utrecht, Station Vaartsche Rijn (Perron A);136802.0;454574.0
H;50005980;utrvar;Utrecht, Station Vaartsche Rijn (Perron B);136836.0;454549.0
H;50005997;;zonegrens 5000-5915;136284.1;457746.0
H;50006130;;Utrecht, Mr. Tripkade;136800.3;457702.3
H;50006140;;Utrecht, Mr. Tripkade;136845.0;457783.0
H;50006150;utrkar;Utrecht, Kardinaal de Jongweg;136638.0;457576.0
H;50006160;utrkar;Utrecht, Kardinaal de Jongweg;136594.0;457553.0
H;50006170;;Utrecht, Willem Dreeslaan;136315.0;457330.0
H;50006310;;Utrecht, Van Zijstweg;135918.9;455171.6
H;50006330;;Utrecht, Van der Goesstraat;136037.0;454966.3
H;50006340;;Utrecht, Van der Goesstraat;136026.7;455047.2
H;50006350;;Utrecht, Brederoplein;136159.8;454750.2
H;50006360;;Utrecht, Brederoplein;136190.7;454759.9
H;50006370;utrbal;Utrecht, Balijelaan (Perron B);136333.0;454484.0
H;50006380;utrbal;Utrecht, Balijelaan (Perron A);136335.0;454492.0
H;50006390;utrwaa;Utrecht, Waalstraat;136271.2;454103.5
H;50006400;utrwaa;Utrecht, Waalstraat;136277.3;454029.7
H;50006410;;Utrecht, Maasplein;136248.8;453710.5
H;50006420;;Utrecht, Maasplein;136248.2;453670.6
H;50006470;;Utrecht, Lunettenbaan;137250.1;452981.4
H;50006480;;Utrecht, Lunettenbaan;137329.7;452947.3
H;50006490;utrstv;Utrecht, Stelviobaan;137480.3;453004.8
H;50006500;utrstv;Utrecht, Stelviobaan;137544.6;453073.5
H;50006510;;Utrecht, Brennerbaan;137845.8;453206.7
H;50006520;;Utrecht, Brennerbaan;137931.5;453213.0
H;50006522;;Utrecht, Texel;138068.5;453213.0
H;50006540;utrlun;Utrecht, Station Lunetten (Perron D);138242.9;453093.0
H;50006541;utrlun;Utrecht, Station Lunetten (Perron C);138251.4;453094.0
H;50006542;utrlun;Utrecht, Station Lunetten (Perron B);138258.7;453097.1
H;50006543;utrlun;Utrecht, Station Lunetten (Perron A);138270.0;453100.0
H;50006610;utrjkh;Utrecht, Janskerkhof;136822.8;456055.5
H;50006670;;Utrecht, Catharijneconvent;136921.0;455489.0
H;50006690;utruni;Utrecht, Universiteitsmuseum;137013.5;455273.4
H;50006710;;Utrecht, Centraal Museum;137011.9;455069.8
H;50006730;utrtsb;Utrecht, Tolsteegbrug;136951.0;454848.6
H;50006750;utrdom;Utrecht, Domplein;136821.0;455775.0
H;50006810;utrsch;Utrecht, Stadsschouwburg;137296.0;456073.0
H;50006830;;Utrecht, Maliebaan;137528.5;455926.9
H;50006840;;Utrecht, Maliebaan;137528.1;455940.9
H;50006850;utrrei;Utrecht, Burg. Reigerstraat;137801.9;455695.9
H;50006860;utrrei;Utrecht, Burg. Reigerstraat;137791.8;455719.2
H;50006870;;Utrecht, Oudwijkerdwarsstraat;137657.2;455469.9
H;50006880;;Utrecht, Oudwijkerdwarsstraat;137712.9;455533.7
H;50006890;utroos;Utrecht, Oosterstraat;137566.7;455311.9
H;50006900;utroos;Utrecht, Oosterstraat;137567.4;455320.2
H;50006910;utrhom;Utrecht, Homeruslaan;137760.6;455296.9
H;50006920;utrhom;Utrecht, Homeruslaan;137735.6;455320.9
H;50006930;utradr;Utrecht, Adriaen van Ostadelaan;137981.5;455118.4
H;50006940;utrdia;Utrecht, Diakonessenhuis-Noord;138059.0;455020.7
H;50007090;utrscp;Utrecht, Schepenbuurt;134354.2;456691.9
H;50007100;utrscp;Utrecht, Schepenbuurt;134401.2;456818.0
H;50007111;utrspi;Utrecht, Spinozaweg;134300.8;456260.6
H;50007120;utrspi;Utrecht, Spinozaweg;134322.8;456262.2
H;50007130;utrlaa;Utrecht, Laan van Nieuw Guinea;134547.0;455982.0
H;50007140;utrlaa;Utrecht, Laan van Nieuw Guinea;134550.0;455995.0
H;50007150;utrbil;Utrecht, Billitonkade;134939.0;455868.0
H;50007160;utrbil;Utrecht, Billitonkade;134915.0;455876.0
H;50007170;utrjpc;Utrecht, J.P. Coenstraat;135081.0;455891.0
H;50007180;utrjpc;Utrecht, J.P. Coenstraat;135101.0;455904.0
H;50007410;;Utrecht, Prinsesselaan;138178.8;456280.2
H;50007420;;Utrecht, Prinsesselaan;138179.9;456306.3
H;50007430;utrros;Utrecht, Rosarium;138171.8;455930.0
H;50007440;utrros;Utrecht, Rosarium;138168.7;455938.5
H;50007450;;Utrecht, Dillenburgstraat;138329.9;455728.2
H;50007460;;Utrecht, Dillenburgstraat;138341.2;455701.7
H;50007470;utrhog;Utrecht, De Hoogstraat;138374.7;455513.9
H;50007480;utrhog;Utrecht, De Hoogstraat;138386.8;455406.4
H;50007490;;Utrecht, Prins Hendriklaan;138373.4;455398.2
H;50007500;utrhob;Utrecht, Hobbemastraat;138274.0;455202.9
H;50007510;utrhob;Utrecht, Hobbemastraat;138239.7;455182.3
H;50007520;utrdia;Utrecht, Diakonessenhuis-Noord;138126.6;455014.7
H;50008030;utrgoe;Utrecht, David Ben Goerionstraat;138447.5;458296.7
H;50008050;utrijs;Utrecht, IJsselsteinlaan;136689.4;452403.4
H;50008070;utrvri;Utrecht, Vrieslantlaan;135540.0;452728.6
H;50008080;utrbet;Utrecht, Beethovenlaan;134216.1;455256.0
H;50008090;utrsma;Utrecht, Smaragdplein;137065.2;453873.6
H;50008100;utrsma;Utrecht, Smaragdplein;137107.7;453861.6
H;50008170;;Utrecht, Marshalllaan;134609.2;454023.0
H;50008180;;Utrecht, Marshalllaan;134616.4;454063.6
H;50008190;utrtru;Utrecht, Trumanlaan;134842.3;454000.1
H;50008200;utrtru;Utrecht, Trumanlaan;134841.5;454022.5
H;50009992;utrcob;Utrecht, Buffer CS Centrumzijde;136111.0;455688.0
H;50009996;utrcwb;Utrecht, Buffer Station West;136145.4;455201.6
H;50009999;utrgar;Utrecht, Garage;135745.5;454105.6
H;50100020;;De Bilt, Steinenburglaan;139498.0;456829.0
H;50100030;;De Bilt, Steinenburglaan;139597.0;456852.0
H;50100040;;De Bilt, Kerklaan;140130.0;457074.0
H;50100050;;De Bilt, Kerklaan;140160.0;457071.0
